homelat,homelon,homecontinent,country,n
34.292883,69.809734,South Asia,Afghanistan,47
34.293728,70.382794,South Asia,Afghanistan,16
34.294722,63.0625,South Asia,Afghanistan,0
34.294762,70.760892,South Asia,Afghanistan,2
34.295,68.870278,South Asia,Afghanistan,1
34.295833,70.081667,South Asia,Afghanistan,0
34.296111,63.058611,South Asia,Afghanistan,2
34.296229,70.101264,South Asia,Afghanistan,1
34.296415,70.214648,South Asia,Afghanistan,1
34.296504,70.214648,South Asia,Afghanistan,0
34.2976,70.100723,South Asia,Afghanistan,8
34.297849,74.470955,South Asia,India,0
34.297985,74.615303,South Asia,India,3
34.299272,70.754248,South Asia,Afghanistan,0
34.299288,69.830924,South Asia,Afghanistan,0
34.3,74.27,South Asia,India,0
34.300682,71.651253,South Asia,Pakistan,1
34.300802,45.100047,Middle East & North Africa,Iraq,4
34.300905,62.246046,South Asia,Afghanistan,0
34.30094,74.467643,South Asia,India,1
34.300959,69.8342,South Asia,Afghanistan,3
34.301232,62.246301,South Asia,Afghanistan,5
34.301389,62.246389,South Asia,Afghanistan,5
34.301389,70.323889,South Asia,Afghanistan,1
34.301472,72.026153,South Asia,Pakistan,0
34.301686,70.658528,South Asia,Afghanistan,0
34.302168,62.302684,South Asia,Afghanistan,0
34.303162,75.293111,South Asia,India,2
34.303501,70.715721,South Asia,Afghanistan,1
34.303706,42.067211,Middle East & North Africa,Iraq,0
34.304498,70.653005,South Asia,Afghanistan,0
34.304961,70.763031,South Asia,Afghanistan,1
34.305077,68.855771,South Asia,Afghanistan,2
34.306833,43.639857,Middle East & North Africa,Iraq,2
34.306926,74.448811,South Asia,India,0
34.307267,62.324064,South Asia,Afghanistan,1
34.307707,45.180621,Middle East & North Africa,Iraq,11
34.308216,72.046499,South Asia,Pakistan,0
34.308429,62.29855,South Asia,Afghanistan,0
34.308638,-88.709435,North America,United States,0
34.308952,72.102149,South Asia,Pakistan,0
34.309413,45.220885,Middle East & North Africa,Iraq,4
34.309987,72.046816,South Asia,Pakistan,1
34.31054,62.316639,South Asia,Afghanistan,1
34.310833,70.713056,South Asia,Afghanistan,1
34.311757,62.294379,South Asia,Afghanistan,0
34.312414,74.345243,South Asia,India,1
34.314086,72.065842,South Asia,Pakistan,0
34.31417,47.065,Middle East & North Africa,Iran,2
34.314996,74.345544,South Asia,India,3
34.316204,43.868365,Middle East & North Africa,Iraq,6
34.316667,71.05,South Asia,Afghanistan,4
34.316742,71.049769,South Asia,Afghanistan,0
34.316858,41.16026,Middle East & North Africa,Iraq,0
34.317019,70.62809,South Asia,Afghanistan,2
34.31724,44.556446,Middle East & North Africa,Iraq,0
34.317372,70.785014,South Asia,Afghanistan,0
34.317661,70.619396,South Asia,Afghanistan,2
34.317813,70.772254,South Asia,Afghanistan,6
34.319167,74.373056,South Asia,India,1
34.319335,63.220431,South Asia,Afghanistan,0
34.319722,45.050278,Middle East & North Africa,Iraq,1
34.319808,45.05079,Middle East & North Africa,Iraq,0
34.320023,71.399002,South Asia,Pakistan,28
34.320111,74.647363,South Asia,India,0
34.3208,71.9458,South Asia,Pakistan,0
34.321039,71.39975,South Asia,Pakistan,2
34.321111,71.4,South Asia,Pakistan,1
34.321189,71.410107,South Asia,Pakistan,0
34.32183,44.479528,Middle East & North Africa,Iraq,0
34.321916,38.596644,Middle East & North Africa,Syria,0
34.322245,70.424223,South Asia,Afghanistan,6
34.322759,71.399435,South Asia,Pakistan,0
34.324145,69.408388,South Asia,Afghanistan,4
34.325,71.06083,South Asia,Afghanistan,5
34.325639,62.211449,South Asia,Afghanistan,4
34.32587,45.165485,Middle East & North Africa,Iraq,3
34.326221,108.947849,East Asia,China,8
34.326581,45.054344,Middle East & North Africa,Iraq,0
34.327011,45.013553,Middle East & North Africa,Iraq,1
34.32716,44.726597,Middle East & North Africa,Iraq,14
34.327778,74.262778,South Asia,India,2
34.328127,70.407575,South Asia,Afghanistan,0
34.328604,62.446516,South Asia,Afghanistan,2
34.328694,70.407547,South Asia,Afghanistan,4
34.328733,70.206804,South Asia,Afghanistan,1
34.328966,70.407486,South Asia,Afghanistan,2
34.328977,70.407486,South Asia,Afghanistan,17
34.32915,63.232444,South Asia,Afghanistan,4
34.330561,74.46534,South Asia,India,0
34.33072,62.245744,South Asia,Afghanistan,2
34.331424,71.021074,South Asia,Afghanistan,0
34.331825,62.239446,South Asia,Afghanistan,5
34.331944,35.809167,Middle East & North Africa,Lebanon,1
34.331944,35.895,Middle East & North Africa,Lebanon,0
34.332082,63.825486,South Asia,Afghanistan,14
34.332536,74.381473,South Asia,India,2
34.332588,73.202805,South Asia,Pakistan,9
34.332737,74.677444,South Asia,India,3
34.333224,45.383289,Middle East & North Africa,Iraq,1
34.333333,44.733333,Middle East & North Africa,Iraq,3
34.333333,45.383333,Middle East & North Africa,Iraq,4
34.333333,73.2,South Asia,Pakistan,20
34.33373,62.21042,South Asia,Afghanistan,0
34.333882,73.201062,South Asia,Pakistan,2
34.333894,45.382883,Middle East & North Africa,Iraq,1
34.335648,70.458763,South Asia,Afghanistan,1
34.33735,71.869088,South Asia,Pakistan,0
34.338022,63.367503,South Asia,Afghanistan,1
34.338238,63.748432,South Asia,Afghanistan,1
34.339607,61.746286,South Asia,Afghanistan,1
34.339661,63.738457,South Asia,Afghanistan,7
34.340122,63.752868,South Asia,Afghanistan,0
34.34013,63.75288,South Asia,Afghanistan,1
34.340314,63.751137,South Asia,Afghanistan,0
34.340449,63.752884,South Asia,Afghanistan,3
34.340772,63.7524,South Asia,Afghanistan,14
34.341104,43.808135,Middle East & North Africa,Iraq,0
34.341104,108.941203,East Asia,China,1
34.341341,71.376219,South Asia,Pakistan,1
34.341415,61.501926,South Asia,Afghanistan,22
34.341728,61.47353,South Asia,Afghanistan,4
34.341872,62.202968,South Asia,Afghanistan,2
34.341943,62.203057,South Asia,Afghanistan,2
34.341944,62.203056,South Asia,Afghanistan,7
