homelat,homelon,homecontinent,country,n
34.434606,35.842489,Middle East & North Africa,Lebanon,0
34.434884,70.647555,South Asia,Afghanistan,1
34.434935,35.836282,Middle East & North Africa,Lebanon,0
34.435335,74.12453,South Asia,India,1
34.435767,35.851304,Middle East & North Africa,Lebanon,0
34.435775,3.896768,Middle East & North Africa,Algeria,3
34.435788,35.851498,Middle East & North Africa,Lebanon,6
34.435937,35.851477,Middle East & North Africa,Lebanon,0
34.43608,35.833084,Middle East & North Africa,Lebanon,1
34.436096,62.207918,South Asia,Afghanistan,1
34.436222,70.448301,South Asia,Afghanistan,0
34.436225,35.846252,Middle East & North Africa,Lebanon,0
34.436654,35.850851,Middle East & North Africa,Lebanon,0
34.436724,73.218688,South Asia,Pakistan,0
34.436781,44.178814,Middle East & North Africa,Iraq,3
34.437114,43.800526,Middle East & North Africa,Iraq,1
34.437213,35.830479,Middle East & North Africa,Lebanon,0
34.437222,71.562778,South Asia,Pakistan,1
34.437376,35.851879,Middle East & North Africa,Lebanon,0
34.437637,35.836016,Middle East & North Africa,Lebanon,0
34.437773,43.800411,Middle East & North Africa,Iraq,3
34.437883,35.831195,Middle East & North Africa,Lebanon,3
34.43789,35.832915,Middle East & North Africa,Lebanon,0
34.437908,35.830907,Middle East & North Africa,Lebanon,0
